DEBUG 2023-09-16 11:49:24,854 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:50:03,174 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:50:03,178 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:50:03,179 __init__ interactive is False
DEBUG 2023-09-16 11:50:03,179 __init__ platform is win32
DEBUG 2023-09-16 11:50:03,225 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:50:03,226 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:50:10,265 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:50:10,269 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:50:10,270 __init__ interactive is False
DEBUG 2023-09-16 11:50:10,270 __init__ platform is win32
DEBUG 2023-09-16 11:50:10,317 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:50:10,318 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:50:13,708 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:50:13,711 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:50:13,713 __init__ interactive is False
DEBUG 2023-09-16 11:50:13,713 __init__ platform is win32
DEBUG 2023-09-16 11:50:13,758 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:50:13,760 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
INFO 2023-09-17 14:32:21,063 autoreload Watching for file changes with StatReloader
DEBUG 2023-09-17 14:32:21,358 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-17 14:32:21,362 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-17 14:32:21,363 __init__ interactive is False
DEBUG 2023-09-17 14:32:21,363 __init__ platform is win32
DEBUG 2023-09-17 14:32:21,411 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-17 14:32:21,413 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-17 14:32:37,629 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-17 14:32:37,633 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-17 14:32:37,634 __init__ interactive is False
DEBUG 2023-09-17 14:32:37,634 __init__ platform is win32
DEBUG 2023-09-17 14:32:37,677 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-17 14:32:37,679 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-17 14:32:42,113 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-17 14:32:42,116 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-17 14:32:42,117 __init__ interactive is False
DEBUG 2023-09-17 14:32:42,118 __init__ platform is win32
DEBUG 2023-09-17 14:32:42,161 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-17 14:32:42,163 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
INFO 2023-09-17 14:32:46,524 autoreload Watching for file changes with StatReloader
DEBUG 2023-09-17 14:32:46,757 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-17 14:32:46,760 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-17 14:32:46,762 __init__ interactive is False
DEBUG 2023-09-17 14:32:46,762 __init__ platform is win32
DEBUG 2023-09-17 14:32:46,806 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-17 14:32:46,807 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
ERROR 2023-09-17 14:32:48,583 log Internal Server Error: /
Traceback (most recent call last):
  File "C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\handlers\exception.py", line 56, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Study\EstateAgency\mysite\main\views.py", line 7, in home
    'latest_article': News.objects.latest('publication_date'),
                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\manager.py", line 85, in manager_method
    return getattr(self.get_queryset(), name)(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\query.py", line 1040, in latest
    return self.reverse()._earliest(*fields)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\query.py", line 1023, in _earliest
    return obj.get()
           ^^^^^^^^^
  File "C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\query.py", line 650, in get
    raise self.model.DoesNotExist(
news.models.News.DoesNotExist: News matching query does not exist.
INFO 2023-09-17 14:33:54,406 autoreload Watching for file changes with StatReloader
DEBUG 2023-09-17 14:33:54,652 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-17 14:33:54,656 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-17 14:33:54,657 __init__ interactive is False
DEBUG 2023-09-17 14:33:54,657 __init__ platform is win32
DEBUG 2023-09-17 14:33:54,703 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-17 14:33:54,704 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
ERROR 2023-09-17 14:33:56,341 log Internal Server Error: /
Traceback (most recent call last):
